
"Results of DICE2023-b-4-3-10.csv: October 16, 2023"
"SCENARIO: OPTIMAL"
"Results of DICE2023-opt-b-4-3-10"
"OPTIMAL"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Consumption",100.4981126660,116.3798401839,133.6779724894,152.3224233273,172.3269496505,193.8597979446,217.0293131532,241.8628194770,268.4844484751,297.2417859705,329.0508658668,365.7757220639,408.4960667221,460.5018455028,530.9015023561,649.8134202974,643.9278097378
"Climate damages, fraction of output",0.0053925133,0.0070361199,0.0082834127,0.0093018402,0.0101354128,0.0108250567,0.0113835221,0.0118151611,0.0120961055,0.0121835162,0.0120441463,0.0118564702,0.0117009741,0.0115892727,0.0115182452,0.0114825079,0.0133968509
"Damages, 2019$",0.7274038633,1.0993442676,1.4889641160,1.9111253404,2.3660079504,2.8552228198,3.3779599015,3.9298818268,4.4951072814,5.0421775365,5.5299724108,6.0090548585,6.5298357709,7.0818444691,7.6170441647,7.9819106397,8.7445640698
"Abatement, 2019$",0.0060950712,0.0374529995,0.3682943971,1.0631168801,2.2518905989,3.4771415328,4.9773630708,6.9041490371,9.5504710980,13.1905202255,17.7510250206,18.3762483326,19.0127146971,19.5976821707,19.9997281928,19.8577299858,0.0604324679
"Abatement/0utput",0.0000454321,0.0002414669,0.0020702881,0.0052504149,0.0098412405,0.0135072297,0.0172593862,0.0214561529,0.0267093373,0.0333414131,0.0407263516,0.0380909197,0.0357035151,0.0335353140,0.0315609581,0.0297584635,0.0000938498
"Sigmabase (CO2/output, no controls, industrial CO2)",0.2913547686,0.2703024888,0.2515248171,0.2347266536,0.2196568291,0.2061008205,0.1938747858,0.1828206618,0.1728021194,0.1637012144,0.1554156053,0.1478562334,0.1409453823,0.1346150500,0.1288055782,0.1234644948,0.1185455346
"Sigmatot,(CO2/output, no controls, all CO2)",0.4078966761,0.3752136423,0.3461610295,0.3202551780,0.2970858614,0.2763039125,0.2576111216,0.2407519590,0.2255067658,0.2116861329,0.1991262443,0.1876850063,0.1772388183,0.1676798717,0.1589138821,0.1508581796,0.1434400968
"Cost, backstop technology ($/tCO2)",695.1772859016,661.2730895942,629.0224204525,598.3446350051,569.1630228090,541.4046146337,515.0000000000,512.4314267842,509.8756643808,507.3326488956,504.8023167530,502.2846046946,499.7794497775,497.2867893726,494.8065611634,492.3387031440,489.8831536179
"Total CO2 Emissions, GTCO2/year",42.9412001005,42.7885770212,37.9933226041,33.6174480219,28.6767619620,25.0248419297,21.1195477220,17.3322664270,12.5772497183,6.6465844933,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,69.6300776124
"Total CO2e Emissions, GTCO2-E/year",52.4032001005,52.0642020212,46.0892226041,40.6566480219,34.5761619620,30.0826844103,25.3101319490,20.7054636340,14.9756687729,7.8875888075,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,83.3836251829
